;NR;ES;RM;T;OPEX;CAPEX;BA;WF
1.1.1;1,0;0,21;0,4;0,13;0,51;0,27;1,0;1,0
1.1.2;0,04;0,21;0,4;0,13;0,51;0,27;1,0;1,0
1.1.3;0,01;0,21;0,4;0,13;0,51;0,27;1,0;1,0
1.2.1;0,07;0,21;0,4;0,13;0,51;0,27;1,0;1,0
1.2.2;0,01;0,21;0,4;0,13;0,51;0,27;1,0;1,0
1.2.3;0,01;0,21;0,4;0,13;0,51;0,27;1,0;1,0
1.3.1;0,19;0,21;0,4;0,13;0,51;0,27;1,0;1,0
1.4.1;0,19;0,21;0,4;0,13;0,51;0,27;1,0;1,0
1.5.1;0,13;0,21;0,4;0,13;0,51;0,27;1,0;1,0
1.6.1;0,04;0,21;0,4;0,13;0,51;0,27;1,0;1,0
1.7.1;0,0;0,21;0,4;0,13;0,51;0,27;1,0;1,0
1.7.2;0,0;0,21;0,4;0,13;0,51;0,27;1,0;1,0
1.8.1;0,08;0,21;0,4;0,13;0,51;0,27;1,0;1,0
1.9.1;0,11;0,21;0,4;0,13;0,51;0,27;1,0;1,0
1.10.1;0,12;0,21;0,4;0,13;0,51;0,27;1,0;1,0
1.10.2;0,1;0,21;0,4;0,13;0,51;0,27;1,0;1,0
1.11.1;0,0;0,0;0,23;0,43;0,26;0,04;0,01;0,57
1.11.2;0,07;0,21;0,4;0,13;0,51;0,27;1,0;1,0
2.1.1;0,0;0,0;0,23;0,04;0,0;0,0;0,01;0,22
2.1.2;0,0;0,0;0,14;0,03;0,01;0,02;0,01;0,48
2.2.1;0,0;0,0;0,23;0,04;0,0;0,0;0,01;0,22
2.2.2;0,0;0,0;0,14;0,03;0,01;0,02;0,01;0,48
3.1.1;0,01;0,29;1,0;0,03;0,2;0,08;0,07;0,39
3.2.1;0,01;0,29;0,76;0,01;0,29;0,07;0,02;0,34
4.1.1;0,0;0,0;0,33;0,06;0,04;0,02;0,0;0,16
5.1.1;0,0;0,0;0,53;0,06;0,1;0,02;0,0;0,53
6.1.1;0,02;0,32;0,3;0,1;0,48;0,3;0,01;0,2
7.1.1;0,24;0,0;0,57;0,04;0,72;0,43;0,06;0,09
7.1.2;0,24;0,0;0,57;0,04;0,72;0,43;0,06;0,09
7.1.3;0,24;0,0;0,57;0,04;0,72;0,43;0,06;0,09
7.2.1;0,21;0,0;0,36;0,08;0,62;0,45;0,0;0,32
8.1.1;0,0;0,0;0,16;0,07;0,14;0,05;0,0;0,46
8.1.2;0,0;0,0;0,04;0,03;0,38;0,34;0,0;0,36
9.1.1;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0
10.1.1;0,0;0,56;0,89;1,0;0,53;0,26;0,05;0,21
10.1.2;0,0;1,0;0,39;0,35;0,32;0,13;0,01;0,24
11.1.1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
12.1.1;0,0;0,0;0,0;0,0;0,15;0,03;0,0;0,0
