Heatmap_sector_level_3_cd;Water use;Water use ratio
1.1.1;2954.551861336235;7.787209180093412
1.1.2;116.70100740479498;0.30758477049638355
1.1.3;41.38757699031457;0.10908379158896839
1.2.1;201.44574948312746;0.5309435282535004
1.2.2;32.829890262902424;0.08652859548084241
1.2.3;32.829890262902424;0.08652859548084241
1.3.1;563.2909959567129;1.4846464102323251
1.4.1;563.2909959567129;1.4846464102323251
1.5.1;388.59733850708784;1.0242124368782184
1.6.1;132.26969247671227;0.34861861014582085
1.7.1;0.0;0.0
1.7.2;0.0;0.0
1.8.1;239.0894163813492;0.6301596267347215
1.9.1;325.10089863266876;0.8568570873364103
1.10.1;363.906440949119;0.9591355002895329
1.10.2;289.7927573893874;0.7637966522769408
1.11.1;;
1.11.2;204.90039031787364;0.5400488044797551
